Elevation_Category,Seasonal_Year,month,SWEI,ENSO,Year,Month
1000_1500m,1980,1,-1.5734559565498831,-0.36,1981,1
1000_1500m,1980,2,-0.7546614539096167,-0.64,1981,2
1000_1500m,1980,3,-1.294272227633028,-0.64,1981,3
1000_1500m,1980,4,-0.9795826745681132,-0.53,1981,4
1000_1500m,1980,5,1.227319286555461,-0.57,1981,5
1000_1500m,1980,10,-0.1361004608507751,-0.26,1980,10
1000_1500m,1980,11,-0.3547206153717256,-0.1,1980,11
1000_1500m,1980,12,0.8109420269533812,0.05,1980,12
1000_1500m,1981,1,0.36433880819116066,0.13,1982,1
1000_1500m,1981,2,1.0569432580022222,-0.17,1982,2
1000_1500m,1981,3,0.299695855805267,0.13,1982,3
1000_1500m,1981,4,0.9991082685137589,0.21,1982,4
1000_1500m,1981,5,0.5727332107790991,0.45,1982,5
1000_1500m,1981,10,-0.18772109185448796,-0.3,1981,10
1000_1500m,1981,11,-0.6279396312759296,-0.41,1981,11
1000_1500m,1981,12,-0.8166069855200525,-0.2,1981,12
1000_1500m,1982,1,-0.5389763663436659,2.35,1983,1
1000_1500m,1982,2,-0.905736565016735,1.94,1983,2
1000_1500m,1982,3,0.004862241375901676,1.38,1983,3
1000_1500m,1982,4,0.0747716093175448,0.95,1983,4
1000_1500m,1982,5,-0.19360923768050534,0.9,1983,5
1000_1500m,1982,10,-0.24597552259018526,1.99,1982,10
1000_1500m,1982,11,0.06845815879883843,1.92,1982,11
1000_1500m,1982,12,-0.41507402831290435,2.2,1982,12
1000_1500m,1983,1,-0.10740516270077023,-0.67,1984,1
1000_1500m,1983,2,-1.4230234400084245,-0.19,1984,2
1000_1500m,1983,3,-0.33028337826112814,-0.52,1984,3
1000_1500m,1983,4,-0.8857307232301506,-0.68,1984,4
1000_1500m,1983,5,0.11382080911414462,-0.73,1984,5
1000_1500m,1983,10,-1.4691510942212607,-1.16,1983,10
1000_1500m,1983,11,-0.18226986158345376,-1.29,1983,11
1000_1500m,1983,12,0.766070234748814,-1.03,1983,12
1000_1500m,1984,1,-0.426273047068081,-1.16,1985,1
1000_1500m,1984,2,-0.23016790151834307,-0.72,1985,2
1000_1500m,1984,3,-0.36666140333830805,-0.79,1985,3
1000_1500m,1984,4,0.6649142541560836,-1.18,1985,4
1000_1500m,1984,5,-0.8500454360455858,-1.03,1985,5
1000_1500m,1984,10,1.3340421148876105,-0.67,1984,10
1000_1500m,1984,11,0.6085097639086836,-1.19,1984,11
1000_1500m,1984,12,-0.4859922192187695,-1.34,1984,12
1000_1500m,1985,1,-0.532247565396308,-0.66,1986,1
1000_1500m,1985,2,0.41600854390677594,-0.71,1986,2
1000_1500m,1985,3,0.5913508966394916,-0.42,1986,3
1000_1500m,1985,4,-0.051959783054785214,-0.33,1986,4
1000_1500m,1985,5,0.9953034962213749,-0.53,1986,5
1000_1500m,1985,10,0.536799911336406,-0.49,1985,10
1000_1500m,1985,11,0.6563849954196471,-0.37,1985,11
1000_1500m,1985,12,0.17731492483482897,-0.41,1985,12
1000_1500m,1986,1,-0.4248567268399407,1.14,1987,1
1000_1500m,1986,2,-0.5337440762638341,1.13,1987,2
1000_1500m,1986,3,0.36409808124941845,0.98,1987,3
1000_1500m,1986,4,-0.5537438947571087,0.58,1987,4
1000_1500m,1986,5,-0.495512260972747,0.62,1987,5
1000_1500m,1986,10,-0.5522956940340509,0.81,1986,10
1000_1500m,1986,11,0.5305740869041594,1.01,1986,11
1000_1500m,1986,12,-0.2779093455109216,1.12,1986,12
1000_1500m,1987,1,-0.565177075554457,0.9,1988,1
1000_1500m,1987,2,-0.5046061067707446,0.28,1988,2
1000_1500m,1987,3,-0.02493937052749757,0.1,1988,3
1000_1500m,1987,4,-0.8409758050404528,-0.44,1988,4
1000_1500m,1987,5,-0.9612632820319588,-1.25,1988,5
1000_1500m,1987,10,-0.3867622459576899,1.24,1987,10
1000_1500m,1987,11,-0.6463156968901664,1.07,1987,11
1000_1500m,1987,12,-0.595444339849413,0.94,1987,12
1000_1500m,1988,1,1.3185082462470636,-1.97,1989,1
1000_1500m,1988,2,0.7641067199719299,-1.47,1989,2
1000_1500m,1988,3,1.1787805614997047,-1.21,1989,3
