Elevation_Category,Seasonal_Year,SWEI,ENSO
1000_1500m,1980,-0.8,-0.4
1000_1500m,1981,0.3,-0.0
1000_1500m,1982,-0.9,1.7
1000_1500m,1983,-0.4,-0.8
1000_1500m,1984,-0.1,-1.0
1000_1500m,1985,0.3,-0.5
1000_1500m,1986,-0.5,0.9
1000_1500m,1987,-1.3,0.4
1000_1500m,1988,0.9,-1.6
1000_1500m,1989,0.1,-0.1
1000_1500m,1990,0.4,0.2
1000_1500m,1991,-1.0,1.4
1000_1500m,1992,0.1,0.2
1000_1500m,1993,-0.6,0.1
1000_1500m,1994,-1.5,0.7
1000_1500m,1995,0.7,-0.8
1000_1500m,1996,2.2,-0.2
1000_1500m,1997,0.0,1.8
1000_1500m,1998,-1.5,-1.4
1000_1500m,1999,0.2,-1.3
1000_1500m,2000,-0.7,-0.6
1000_1500m,2001,1.1,-0.1
1000_1500m,2002,0.3,0.6
1000_1500m,2003,0.6,0.2
1000_1500m,2004,-1.0,0.5
1000_1500m,2005,-1.6,-0.5
1000_1500m,2006,-0.3,0.3
1000_1500m,2007,-0.6,-1.4
1000_1500m,2008,1.2,-0.5
1000_1500m,2009,0.4,1.0
1000_1500m,2010,1.6,-1.2
1000_1500m,2011,-0.9,-0.8
1000_1500m,2012,0.9,-0.2
1000_1500m,2013,1.1,-0.2
1000_1500m,2014,-0.3,0.6
1000_1500m,2015,-1.0,1.9
1000_1500m,2016,0.3,-0.2
1000_1500m,2017,1.3,-0.7
1000_1500m,2018,-0.2,0.8
1000_1500m,2019,0.3,0.4
1000_1500m,2020,0.1,-1.0
1000_1500m,2021,-0.3,-1.0
1000_1500m,2022,0.8,-0.4
1000_1500m,2023,0.2,1.4
1500_2000m,1980,-0.6,-0.4
1500_2000m,1981,-0.0,-0.0
1500_2000m,1982,-0.0,1.7
1500_2000m,1983,-0.3,-0.8
1500_2000m,1984,0.2,-1.0
1500_2000m,1985,0.6,-0.5
1500_2000m,1986,0.1,0.9
1500_2000m,1987,-0.3,0.4
1500_2000m,1988,1.0,-1.6
1500_2000m,1989,1.1,-0.1
1500_2000m,1990,0.5,0.2
1500_2000m,1991,-0.9,1.4
1500_2000m,1992,0.6,0.2
1500_2000m,1993,-0.7,0.1
1500_2000m,1994,-0.8,0.7
1500_2000m,1995,0.7,-0.8
1500_2000m,1996,1.2,-0.2
1500_2000m,1997,-0.2,1.8
1500_2000m,1998,-1.7,-1.4
1500_2000m,1999,-0.2,-1.3
1500_2000m,2000,-0.8,-0.6
1500_2000m,2001,0.4,-0.1
1500_2000m,2002,-0.6,0.6
1500_2000m,2003,0.3,0.2
1500_2000m,2004,-1.7,0.5
1500_2000m,2005,-1.9,-0.5
1500_2000m,2006,-1.0,0.3
1500_2000m,2007,-0.5,-1.4
1500_2000m,2008,0.8,-0.5
1500_2000m,2009,-0.1,1.0
1500_2000m,2010,1.4,-1.2
1500_2000m,2011,-1.1,-0.8
1500_2000m,2012,0.4,-0.2
1500_2000m,2013,1.0,-0.2
1500_2000m,2014,-0.2,0.6
1500_2000m,2015,-0.6,1.9
1500_2000m,2016,0.4,-0.2
1500_2000m,2017,1.5,-0.7
1500_2000m,2018,-0.0,0.8
1500_2000m,2019,0.4,0.4
1500_2000m,2020,-0.4,-1.0
1500_2000m,2021,-0.0,-1.0
1500_2000m,2022,1.1,-0.4
1500_2000m,2023,1.2,1.4
2000_2500m,1980,-0.4,-0.4
2000_2500m,1981,0.1,-0.0
2000_2500m,1982,0.1,1.7
2000_2500m,1983,-0.3,-0.8
2000_2500m,1984,-0.2,-1.0
2000_2500m,1985,0.9,-0.5
2000_2500m,1986,0.0,0.9
2000_2500m,1987,-0.6,0.4
2000_2500m,1988,0.4,-1.6
2000_2500m,1989,1.4,-0.1
2000_2500m,1990,1.4,0.2
2000_2500m,1991,-0.3,1.4
2000_2500m,1992,0.7,0.2
2000_2500m,1993,0.2,0.1
