Elevation_Category,Seasonal_Year,month,SWEI,ENSO,Year,Month
1000_1500m,1980,1,-1.584789997172284,-0.36,1981,1
1000_1500m,1980,2,-0.7694478818480536,-0.64,1981,2
1000_1500m,1980,3,-1.3071014477571696,-0.64,1981,3
1000_1500m,1980,4,-0.9945432244282004,-0.53,1981,4
1000_1500m,1980,5,1.2405530055566294,-0.57,1981,5
1000_1500m,1980,10,-0.10480056887583748,-0.26,1980,10
1000_1500m,1980,11,-0.37638714448913746,-0.1,1980,11
1000_1500m,1980,12,0.79895066141448,0.05,1980,12
1000_1500m,1981,1,0.37487706456306863,0.13,1982,1
1000_1500m,1981,2,1.0709141387690786,-0.17,1982,2
1000_1500m,1981,3,0.276102852231058,0.13,1982,3
1000_1500m,1981,4,1.0091993414282832,0.21,1982,4
1000_1500m,1981,5,0.5915559102894847,0.45,1982,5
1000_1500m,1981,10,-0.15648563713409486,-0.3,1981,10
1000_1500m,1981,11,-0.6463992603901457,-0.41,1981,11
1000_1500m,1981,12,-0.8329300930446357,-0.2,1981,12
1000_1500m,1982,1,-0.5485796220163169,2.35,1983,1
1000_1500m,1982,2,-0.9177497374452223,1.94,1983,2
1000_1500m,1982,3,-0.021561636269470056,1.38,1983,3
1000_1500m,1982,4,0.07862450192220156,0.95,1983,4
1000_1500m,1982,5,-0.16052395725008928,0.9,1983,5
1000_1500m,1982,10,-0.21173807481445622,1.99,1982,10
1000_1500m,1982,11,0.039029621458648384,1.92,1982,11
1000_1500m,1982,12,-0.43084926443881866,2.2,1982,12
1000_1500m,1983,1,-0.10138330574791014,-0.67,1984,1
1000_1500m,1983,2,-1.435135703378665,-0.19,1984,2
1000_1500m,1983,3,-0.3527727418285258,-0.52,1984,3
1000_1500m,1983,4,-0.8994715013147992,-0.68,1984,4
1000_1500m,1983,5,0.1394910312612237,-0.73,1984,5
1000_1500m,1983,10,-1.4782864364869102,-1.16,1983,10
1000_1500m,1983,11,-0.20661909120585847,-1.29,1983,11
1000_1500m,1983,12,0.7569601963825155,-1.03,1983,12
1000_1500m,1984,1,-0.431237301813503,-1.16,1985,1
1000_1500m,1984,2,-0.21991479306974515,-0.72,1985,2
1000_1500m,1984,3,-0.38564560508469753,-0.79,1985,3
1000_1500m,1984,4,0.6729079485084909,-1.18,1985,4
1000_1500m,1984,5,-0.7932027097239417,-1.03,1985,5
1000_1500m,1984,10,1.346582090961554,-0.67,1984,10
1000_1500m,1984,11,0.5770102926247165,-1.19,1984,11
1000_1500m,1984,12,-0.5063044676308655,-1.34,1984,12
1000_1500m,1985,1,-0.5288321242762455,-0.66,1986,1
1000_1500m,1985,2,0.438350617619534,-0.71,1986,2
1000_1500m,1985,3,0.5818410090977965,-0.42,1986,3
1000_1500m,1985,4,-0.05553194039658325,-0.33,1986,4
1000_1500m,1985,5,1.0102532160973636,-0.53,1986,5
1000_1500m,1985,10,0.5562407736420009,-0.49,1985,10
1000_1500m,1985,11,0.6154877920521551,-0.37,1985,11
1000_1500m,1985,12,0.15583965745395353,-0.41,1985,12
