Elevation_Category,Seasonal_Year,SWEI,Year,ENSO
1000_1500m,1980,-0.8,1980,-0.2
1500_2000m,1980,-0.6,1980,-0.2
2000_2500m,1980,-0.4,1980,-0.2
500_1000m,1980,-0.1,1980,-0.2
1000_1500m,1981,0.3,1981,-0.0
1500_2000m,1981,-0.0,1981,-0.0
2000_2500m,1981,0.1,1981,-0.0
500_1000m,1981,0.6,1981,-0.0
1000_1500m,1982,-0.9,1982,-1.0
1500_2000m,1982,-0.0,1982,-1.0
2000_2500m,1982,0.1,1982,-1.0
500_1000m,1982,0.6,1982,-1.0
1000_1500m,1983,-0.4,1983,-2.0
1500_2000m,1983,-0.3,1983,-2.0
2000_2500m,1983,-0.3,1983,-2.0
500_1000m,1983,0.5,1983,-2.0
1000_1500m,1984,-0.1,1984,0.2
1500_2000m,1984,0.2,1984,0.2
2000_2500m,1984,-0.2,1984,0.2
500_1000m,1984,1.0,1984,0.2
1000_1500m,1985,0.3,1985,0.6
1500_2000m,1985,0.6,1985,0.6
2000_2500m,1985,0.9,1985,0.6
500_1000m,1985,1.2,1985,0.6
1000_1500m,1986,-0.5,1986,-0.3
1500_2000m,1986,0.1,1986,-0.3
2000_2500m,1986,0.0,1986,-0.3
500_1000m,1986,0.6,1986,-0.3
1000_1500m,1987,-1.3,1987,-1.4
1500_2000m,1987,-0.3,1987,-1.4
2000_2500m,1987,-0.6,1987,-1.4
500_1000m,1987,0.4,1987,-1.4
1000_1500m,1988,0.9,1988,1.1
1500_2000m,1988,1.0,1988,1.1
2000_2500m,1988,0.4,1988,1.1
500_1000m,1988,1.3,1988,1.1
1000_1500m,1989,0.1,1989,1.4
1500_2000m,1989,1.1,1989,1.4
2000_2500m,1989,1.4,1989,1.4
500_1000m,1989,1.1,1989,1.4
1000_1500m,1990,0.4,1990,-0.3
1500_2000m,1990,0.5,1990,-0.3
2000_2500m,1990,1.4,1990,-0.3
500_1000m,1990,1.1,1990,-0.3
1000_1500m,1991,-1.0,1991,-1.0
1500_2000m,1991,-0.9,1991,-1.0
2000_2500m,1991,-0.3,1991,-1.0
500_1000m,1991,0.2,1991,-1.0
1000_1500m,1992,0.1,1992,-1.9
1500_2000m,1992,0.6,1992,-1.9
2000_2500m,1992,0.7,1992,-1.9
500_1000m,1992,-0.1,1992,-1.9
1000_1500m,1993,-0.6,1993,-1.0
1500_2000m,1993,-0.7,1993,-1.0
2000_2500m,1993,0.2,1993,-1.0
500_1000m,1993,-0.1,1993,-1.0
1000_1500m,1994,-1.5,1994,-1.1
1500_2000m,1994,-0.8,1994,-1.1
2000_2500m,1994,0.7,1994,-1.1
500_1000m,1994,-1.2,1994,-1.1
1000_1500m,1995,0.7,1995,-0.3
1500_2000m,1995,0.7,1995,-0.3
2000_2500m,1995,1.8,1995,-0.3
500_1000m,1995,0.9,1995,-0.3
1000_1500m,1996,2.2,1996,1.0
1500_2000m,1996,1.2,1996,1.0
2000_2500m,1996,-0.7,1996,1.0
500_1000m,1996,0.7,1996,1.0
1000_1500m,1997,0.0,1997,-0.8
1500_2000m,1997,-0.2,1997,-0.8
2000_2500m,1997,-1.8,1997,-0.8
500_1000m,1997,-0.9,1997,-0.8
1000_1500m,1998,-1.5,1998,-1.0
1500_2000m,1998,-1.7,1998,-1.0
2000_2500m,1998,-1.0,1998,-1.0
500_1000m,1998,-0.8,1998,-1.0
1000_1500m,1999,0.2,1999,1.9
1500_2000m,1999,-0.2,1999,1.9
2000_2500m,1999,0.3,1999,1.9
500_1000m,1999,-0.4,1999,1.9
1000_1500m,2000,-0.7,2000,1.8
1500_2000m,2000,-0.8,2000,1.8
2000_2500m,2000,-0.9,2000,1.8
500_1000m,2000,-1.8,2000,1.8
1000_1500m,2001,1.1,2001,0.6
1500_2000m,2001,0.4,2001,0.6
2000_2500m,2001,0.1,2001,0.6
500_1000m,2001,-0.0,2001,0.6
1000_1500m,2002,0.3,2002,-0.3
1500_2000m,2002,-0.6,2002,-0.3
2000_2500m,2002,-1.3,2002,-0.3
500_1000m,2002,-0.2,2002,-0.3
1000_1500m,2003,0.6,2003,-0.2
1500_2000m,2003,0.3,2003,-0.2
2000_2500m,2003,-0.0,2003,-0.2
500_1000m,2003,0.4,2003,-0.2
1000_1500m,2004,-1.0,2004,-0.2
1500_2000m,2004,-1.7,2004,-0.2
2000_2500m,2004,-1.7,2004,-0.2
500_1000m,2004,-0.9,2004,-0.2
1000_1500m,2005,-1.6,2005,-0.6
1500_2000m,2005,-1.9,2005,-0.6
2000_2500m,2005,-1.5,2005,-0.6
500_1000m,2005,-1.7,2005,-0.6
1000_1500m,2006,-0.3,2006,0.5
1500_2000m,2006,-1.0,2006,0.5
2000_2500m,2006,-0.4,2006,0.5
500_1000m,2006,-0.7,2006,0.5
1000_1500m,2007,-0.6,2007,0.5
1500_2000m,2007,-0.5,2007,0.5
2000_2500m,2007,-0.5,2007,0.5
500_1000m,2007,-0.4,2007,0.5
1000_1500m,2008,1.2,2008,2.2
1500_2000m,2008,0.8,2008,2.2
2000_2500m,2008,0.1,2008,2.2
500_1000m,2008,0.7,2008,2.2
1000_1500m,2009,0.4,2009,0.3
1500_2000m,2009,-0.1,2009,0.3
2000_2500m,2009,-0.8,2009,0.3
500_1000m,2009,0.0,2009,0.3
1000_1500m,2010,1.6,2010,1.0
1500_2000m,2010,1.4,2010,1.0
2000_2500m,2010,0.4,2010,1.0
500_1000m,2010,1.3,2010,1.0
1000_1500m,2011,-0.9,2011,2.9
1500_2000m,2011,-1.1,2011,2.9
2000_2500m,2011,-0.6,2011,2.9
500_1000m,2011,-1.0,2011,2.9
1000_1500m,2012,0.9,2012,0.4
1500_2000m,2012,0.4,2012,0.4
2000_2500m,2012,-0.0,2012,0.4
500_1000m,2012,0.3,2012,0.4
1000_1500m,2013,1.1,2013,0.6
1500_2000m,2013,1.0,2013,0.6
2000_2500m,2013,1.1,2013,0.6
500_1000m,2013,1.2,2013,0.6
1000_1500m,2014,-0.3,2014,-0.0
1500_2000m,2014,-0.2,2014,-0.0
2000_2500m,2014,-0.2,2014,-0.0
500_1000m,2014,-0.0,2014,-0.0
1000_1500m,2015,-1.0,2015,-1.0
1500_2000m,2015,-0.6,2015,-1.0
2000_2500m,2015,-0.8,2015,-1.0
500_1000m,2015,-1.0,2015,-1.0
1000_1500m,2016,0.3,2016,-1.0
1500_2000m,2016,0.4,2016,-1.0
2000_2500m,2016,0.8,2016,-1.0
500_1000m,2016,-0.5,2016,-1.0
1000_1500m,2017,1.3,2017,0.6
1500_2000m,2017,1.5,2017,0.6
2000_2500m,2017,0.9,2017,0.6
500_1000m,2017,0.8,2017,0.6
1000_1500m,2018,-0.2,2018,0.9
1500_2000m,2018,-0.0,2018,0.9
2000_2500m,2018,-0.5,2018,0.9
500_1000m,2018,-0.6,2018,0.9
1000_1500m,2019,0.3,2019,-0.8
1500_2000m,2019,0.4,2019,-0.8
2000_2500m,2019,0.7,2019,-0.8
500_1000m,2019,0.2,2019,-0.8
1000_1500m,2020,0.1,2020,0.7
1500_2000m,2020,-0.4,2020,0.7
2000_2500m,2020,0.5,2020,0.7
500_1000m,2020,-0.0,2020,0.7
1000_1500m,2021,-0.3,2021,1.6
1500_2000m,2021,-0.0,2021,1.6
2000_2500m,2021,0.7,2021,1.6
500_1000m,2021,-1.8,2021,1.6
1000_1500m,2022,0.8,2022,2.2
1500_2000m,2022,1.1,2022,2.2
2000_2500m,2022,0.5,2022,2.2
500_1000m,2022,0.0,2022,2.2
1000_1500m,2023,0.2,2023,0.1
1500_2000m,2023,1.2,2023,0.1
2000_2500m,2023,0.6,2023,0.1
500_1000m,2023,-0.7,2023,0.1
